CODGEO,LIBGEO,Code département,annee,type,taux_brut_de_mortalit___pour_mille_
22295,Saint-Gilles-Vieux-Marché,22,2017,Taux brut de mortalité (pour mille),12.4
22296,Saint-Glen,22,2017,Taux brut de mortalité (pour mille),12.4
22299,Saint-Hélen,22,2017,Taux brut de mortalité (pour mille),12.4
22300,Saint-Hervé,22,2017,Taux brut de mortalité (pour mille),12.4
22302,Saint-Jacut-de-la-Mer,22,2017,Taux brut de mortalité (pour mille),12.4
22304,Saint-Jean-Kerdaniel,22,2017,Taux brut de mortalité (pour mille),12.4
22305,Saint-Jouan-de-l'Isle,22,2017,Taux brut de mortalité (pour mille),12.4
22306,Saint-Judoce,22,2017,Taux brut de mortalité (pour mille),12.4
22307,Saint-Julien,22,2017,Taux brut de mortalité (pour mille),12.4
22308,Saint-Juvat,22,2017,Taux brut de mortalité (pour mille),12.4
22309,Saint-Launeuc,22,2017,Taux brut de mortalité (pour mille),12.4
22310,Saint-Laurent,22,2017,Taux brut de mortalité (pour mille),12.4
22311,Saint-Lormel,22,2017,Taux brut de mortalité (pour mille),12.4
22312,Saint-Maden,22,2017,Taux brut de mortalité (pour mille),12.4
22313,Saint-Martin-des-Prés,22,2017,Taux brut de mortalité (pour mille),12.4
22314,Saint-Maudan,22,2017,Taux brut de mortalité (pour mille),12.4
22315,Saint-Maudez,22,2017,Taux brut de mortalité (pour mille),12.4
22316,Saint-Mayeux,22,2017,Taux brut de mortalité (pour mille),12.4
22317,Saint-Méloir-des-Bois,22,2017,Taux brut de mortalité (pour mille),12.4
22318,Saint-Michel-de-Plélan,22,2017,Taux brut de mortalité (pour mille),12.4
22319,Saint-Michel-en-Grève,22,2017,Taux brut de mortalité (pour mille),12.4
22320,Saint-Nicodème,22,2017,Taux brut de mortalité (pour mille),12.4
22321,Saint-Nicolas-du-Pélem,22,2017,Taux brut de mortalité (pour mille),12.4
22322,Saint-Péver,22,2017,Taux brut de mortalité (pour mille),12.4
22323,Saint-Pôtan,22,2017,Taux brut de mortalité (pour mille),12.4
22324,Saint-Quay-Perros,22,2017,Taux brut de mortalité (pour mille),12.4
22325,Saint-Quay-Portrieux,22,2017,Taux brut de mortalité (pour mille),12.4
22326,Saint-Rieul,22,2017,Taux brut de mortalité (pour mille),12.4
22327,Saint-Samson-sur-Rance,22,2017,Taux brut de mortalité (pour mille),12.4
22328,Saint-Servais,22,2017,Taux brut de mortalité (pour mille),12.4
22330,Saint-Thélo,22,2017,Taux brut de mortalité (pour mille),12.4
22331,Sainte-Tréphine,22,2017,Taux brut de mortalité (pour mille),12.4
22332,Saint-Trimoël,22,2017,Taux brut de mortalité (pour mille),12.4
22333,Saint-Vran,22,2017,Taux brut de mortalité (pour mille),12.4
22334,Saint-Igeaux,22,2017,Taux brut de mortalité (pour mille),12.4
22335,Senven-Léhart,22,2017,Taux brut de mortalité (pour mille),12.4
22337,Sévignac,22,2017,Taux brut de mortalité (pour mille),12.4
22338,Squiffiec,22,2017,Taux brut de mortalité (pour mille),12.4
22339,Taden,22,2017,Taux brut de mortalité (pour mille),12.4
22340,Tonquédec,22,2017,Taux brut de mortalité (pour mille),12.4
22341,Tramain,22,2017,Taux brut de mortalité (pour mille),12.4
22342,Trébédan,22,2017,Taux brut de mortalité (pour mille),12.4
22343,Trébeurden,22,2017,Taux brut de mortalité (pour mille),12.4
22344,Trébrivan,22,2017,Taux brut de mortalité (pour mille),12.4
22345,Trébry,22,2017,Taux brut de mortalité (pour mille),12.4
22346,Trédaniel,22,2017,Taux brut de mortalité (pour mille),12.4
22347,Trédarzec,22,2017,Taux brut de mortalité (pour mille),12.4
22348,Trédias,22,2017,Taux brut de mortalité (pour mille),12.4
22349,Trédrez-Locquémeau,22,2017,Taux brut de mortalité (pour mille),12.4
22350,Tréduder,22,2017,Taux brut de mortalité (pour mille),12.4
22351,Treffrin,22,2017,Taux brut de mortalité (pour mille),12.4
22352,Tréfumel,22,2017,Taux brut de mortalité (pour mille),12.4
22353,Trégastel,22,2017,Taux brut de mortalité (pour mille),12.4
22354,Tréglamus,22,2017,Taux brut de mortalité (pour mille),12.4
22356,Trégomeur,22,2017,Taux brut de mortalité (pour mille),12.4
22358,Trégonneau,22,2017,Taux brut de mortalité (pour mille),12.4
22359,Trégrom,22,2017,Taux brut de mortalité (pour mille),12.4
22360,Trégueux,22,2017,Taux brut de mortalité (pour mille),12.4
22361,Tréguidel,22,2017,Taux brut de mortalité (pour mille),12.4
22362,Tréguier,22,2017,Taux brut de mortalité (pour mille),12.4
22363,Trélévern,22,2017,Taux brut de mortalité (pour mille),12.4
22364,Trélivan,22,2017,Taux brut de mortalité (pour mille),12.4
22365,Trémargat,22,2017,Taux brut de mortalité (pour mille),12.4
22366,Trémel,22,2017,Taux brut de mortalité (pour mille),12.4
22368,Tréméreuc,22,2017,Taux brut de mortalité (pour mille),12.4
22369,Trémeur,22,2017,Taux brut de mortalité (pour mille),12.4
22370,Tréméven,22,2017,Taux brut de mortalité (pour mille),12.4
22371,Trémorel,22,2017,Taux brut de mortalité (pour mille),12.4
22372,Trémuson,22,2017,Taux brut de mortalité (pour mille),12.4
22373,Tréogan,22,2017,Taux brut de mortalité (pour mille),12.4
22375,Tressignaux,22,2017,Taux brut de mortalité (pour mille),12.4
22376,Trévé,22,2017,Taux brut de mortalité (pour mille),12.4
22377,Tréveneuc,22,2017,Taux brut de mortalité (pour mille),12.4
22378,Trévérec,22,2017,Taux brut de mortalité (pour mille),12.4
22379,Trévou-Tréguignec,22,2017,Taux brut de mortalité (pour mille),12.4
22380,Trévron,22,2017,Taux brut de mortalité (pour mille),12.4
22381,Trézény,22,2017,Taux brut de mortalité (pour mille),12.4
22383,Troguéry,22,2017,Taux brut de mortalité (pour mille),12.4
22384,Uzel,22,2017,Taux brut de mortalité (pour mille),12.4
22385,La Vicomté-sur-Rance,22,2017,Taux brut de mortalité (pour mille),12.4
22386,Le Vieux-Bourg,22,2017,Taux brut de mortalité (pour mille),12.4
22387,Le Vieux-Marché,22,2017,Taux brut de mortalité (pour mille),12.4
22388,Vildé-Guingalan,22,2017,Taux brut de mortalité (pour mille),12.4
22389,Yffiniac,22,2017,Taux brut de mortalité (pour mille),12.4
22390,Yvias,22,2017,Taux brut de mortalité (pour mille),12.4
22391,Yvignac-la-Tour,22,2017,Taux brut de mortalité (pour mille),12.4
29001,Argol,29,2017,Taux brut de mortalité (pour mille),
29002,Arzano,29,2017,Taux brut de mortalité (pour mille),
29003,Audierne,29,2017,Taux brut de mortalité (pour mille),
29004,Bannalec,29,2017,Taux brut de mortalité (pour mille),
