CODGEO;LIBGEO;Loyer prédit en euros par m²;Code département;Code de la commune
22099;Lanfains;6.85549662340702;22;099
44215;Vertou;11.5989524371068;44;215
44190;Saint-Sébastien-sur-Loire;11.8545966475948;44;190
56162;Ploemeur;11.1128863288435;56;162
56069;Groix;11.011574381515;56;069
56107;Larmor-Plage;12.24789642629;56;107
29045;Dirinon;8.57184137491714;29;045
29140;Loperhet;8.91631267162247;29;140
29137;Logonna-Daoulas;8.57184137491714;29;137
29189;Plougastel-Daoulas;9.31959999426397;29;189
29043;Daoulas;8.57184137491714;29;043
29080;Hôpital-Camfrout;8.57184137491714;29;080
56157;Plaudren;8.77937816095306;56;157
56042;Colpo;8.77937816095306;56;042
56071;Guéhenno;8.77937816095306;56;071
56120;Locqueltas;8.77937816095306;56;120
56236;Saint-Servant;8.77937816095306;56;236
56222;Saint-Jean-Brévelay;8.77937816095306;56;222
56115;Locmaria-Grand-Champ;8.77937816095306;56;115
56137;Monterblanc;8.77937816095306;56;137
56051;Cruguel;8.77937816095306;56;051
22332;Saint-Trimoël;7.38518192382227;22;332
22281;Saint-Carreuc;6.9705469762989;22;281
22258;Quessoy;7.43574445497357;22;258
22140;La Malhoure;7.38518192382227;22;140
22176;Plédran;7.76419092895961;22;176
22098;Landéhen;7.38518192382227;22;098
22015;Bréhand;7.38518192382227;22;015
22165;Penguily;7.38518192382227;22;165
22360;Trégueux;8.245081660786;22;360
22246;Pommeret;7.38518192382227;22;246
35332;Teillay;7.0008104462914;35;332
35316;Saint-Sulpice-des-Landes;7.0008104462914;35;316
44058;Fercé;7.0008104462914;44;058
44148;Ruffigné;7.0008104462914;44;148
44200;Soulvache;7.0008104462914;44;200
44086;Lusanger;7.0008104462914;44;086
44153;Saint-Aubin-des-Châteaux;7.0008104462914;44;153
44146;Rougé;7.0008104462914;44;146
44197;Sion-les-Mines;7.0008104462914;44;197
44193;Saint-Vincent-des-Landes;7.0008104462914;44;193
44208;Treffieux;7.49236454337596;44;208
35249;Sainte-Anne-sur-Vilaine;7.49236454337596;35;249
44051;Derval;7.66415801859561;44;051
44076;Jans;7.49236454337596;44;076
44123;Pierric;7.49236454337596;44;123
35124;Grand-Fougeray;7.50309764438717;35;124
44105;Mouais;7.49236454337596;44;105
29209;Plouvien;8.34480274193402;29;209
29160;Plabennec;8.89546871533816;29;160
29015;Bourg-Blanc;8.24741143250081;29;015
29126;Loc-Brévalaire;8.24741143250081;29;126
29047;Le Drennec;8.24741143250081;29;047
29035;Coat-Méal;8.24741143250081;29;035
29100;Lanarvily;8.24741143250081;29;100
35012;Bain-de-Bretagne;8.10915947682095;35;012
35321;Saulnières;7.1623102758323;35;321
35343;Tresbœuf;7.1623102758323;35;343
35335;Thourie;7.1623102758323;35;335
35030;La Bosse-de-Bretagne;7.1623102758323;35;030
35322;Le Sel-de-Bretagne;7.1623102758323;35;322
35140;Lalleu;7.1623102758323;35;140
35106;Ercé-en-Lamée;7.1623102758323;35;106
44164;Saint-Hilaire-de-Chaléons;8.76917773336066;44;164
44187;Saint-Père-en-Retz;9.02785412827824;44;187
44038;Chauvé;8.73173620781241;44;038
44061;Frossay;8.37937150500145;44;061
44005;Chaumes-en-Retz;8.93935360632021;44;005
44192;Saint-Viaud;9.02472561837843;44;192
56156;Persquen;7.83327497782019;56;156
56113;Locmalo;7.83327497782019;56;113
56210;Saint-Caradec-Trégomel;7.83327497782019;56;210
56026;Bubry;7.83327497782019;56;026
56131;Meslan;7.83327497782019;56;131
56264;Kernascléden;7.83327497782019;56;264
56105;Lanvénégen;7.83327497782019;56;105
56201;Le Saint;7.83327497782019;56;201
56057;Le Faouët;7.83327497782019;56;057
56048;Le Croisty;7.83327497782019;56;048
56182;Priziac;7.83327497782019;56;182
56110;Lignol;7.83327497782019;56;110
56014;Berné;7.83327497782019;56;014
29271;Saint-Vougay;7.49422242539851;29;271
29213;Plouzévédé;7.49422242539851;29;213
29185;Plouescat;8.09953803946724;29;185
29187;Plougar;7.49422242539851;29;187
29244;Saint-Derrien;7.49422242539851;29;244
29111;Lanhouarneau;7.49422242539851;29;111
29255;Saint-Méen;7.49422242539851;29;255
29206;Plounévez-Lochrist;7.5406146112523;29;206
29148;Mespaul;7.49422242539851;29;148
29285;Tréflaouénan;7.49422242539851;29;285
44224;La Grigonnais;8.62476440363382;44;224
44149;Saffré;8.80759412333036;44;149
44062;Le Gâvre;8.62476440363382;44;062
44221;La Chevallerais;8.62476440363382;44;221
44015;Blain;8.92505809125332;44;015
56119;Locoal-Mendon;8.80766630197628;56;119
56055;Étel;8.80766630197628;56;055
56148;Nostang;8.80766630197628;56;148
56021;Brandérion;8.80766630197628;56;021
56130;Merlevenez;8.80766630197628;56;130
56097;Landévant;8.60816620658446;56;097
56220;Sainte-Hélène;8.80766630197628;56;220
56013;Belz;8.80766630197628;56;013
56158;Plescop;10.9325379062876;56;158
56167;Plougoumelen;11.0317975797611;56;167
56132;Meucon;11.0317975797611;56;132
56262;Bono;11.0317975797611;56;262
56206;Saint-Avé;10.9789585431441;56;206
35047;Bruz;10.5443277248175;35;047
35281;Saint-Jacques-de-la-Lande;10.7337039788604;35;281
56001;Allaire;8.64334495715714;56;001
56044;Cournon;8.55866189039054;56;044
35294;Sainte-Marie;8.55866189039054;35;294
56223;Saint-Jean-la-Poterie;8.55866189039054;56;223
35013;Bains-sur-Oust;8.70026704500546;35;013
56232;Saint-Perreux;8.55866189039054;56;232
44207;Trans-sur-Erdre;8.84144457499393;44;207
44048;Couffé;9.23864972774018;44;048
44003;Ancenis-Saint-Géréon;9.42163284421099;44;003
44107;Mouzeil;8.84144457499393;44;107
35108;Essé;7.78326497785677;35;108
35136;Janzé;8.81231807445793;35;136
35028;Boistrudan;7.78326497785677;35;028
35089;La Couyère;7.78326497785677;35;089
35262;Sainte-Colombe;7.78326497785677;35;262
