Code département;Code de la commune;LIBGEO;% Exp/Ins;CODGEO;Score_Gauche;Score_Droite;Score_Divers
22;383;Troguéry;55.44;22383;53.27;46.73;0.0
22;390;Yvias;52.67;22390;37.23;62.78;0.0
29;6;Bénodet;57.61;29006;18.52;81.48;0.0
29;20;Briec;50.19;29020;32.08;67.92;0.0
29;32;Clohars-Fouesnant;55.13;29032;23.02;76.99;0.0
29;48;Edern;51.91;29048;30.92;69.07;0.01
29;51;Ergué-Gabéric;52.93;29051;34.83;65.18;0.0
29;57;La Forêt-Fouesnant;57.41;29057;23.26;76.75;0.0
29;58;Fouesnant;57.06;29058;25.35;74.67;0.0
29;60;Gouesnach;56.53;29060;29.85;70.15;0.0
29;106;Landrévarzec;55.19;29106;30.85;69.14;0.01
29;107;Landudal;56.77;29107;32.53;67.47;0.0
29;110;Langolen;52.85;29110;40.12;59.88;0.0
29;161;Pleuven;53.29;29161;31.88;68.13;0.0
29;170;Plomelin;54.42;29170;33.25;66.75;0.0
29;216;Pluguffan;53.61;29216;33.14;66.85;0.01
29;232;Quimper;51.72;29232;37.98;62.01;0.01
29;247;Saint-Evarzec;51.5;29247;26.47;73.53;0.0
29;11;Bohars;57.22;29011;35.9;64.09;0.01
29;19;Brest;47.25;29019;48.72;51.28;0.0
29;61;Gouesnou;52.0;29061;36.23;63.76;0.01
29;69;Guilers;49.47;29069;36.22;63.79;0.0
29;15;Bourg-Blanc;51.66;29015;27.59;72.41;0.0
29;17;Brélès;60.34;29017;26.53;73.48;0.0
29;19;Brest;45.66;29019;44.91;55.08;0.01
29;35;Coat-Méal;53.16;29035;25.82;74.17;0.01
29;40;Le Conquet;54.41;29040;24.26;75.74;0.0
29;47;Le Drennec;49.42;29047;26.09;73.91;0.0
29;76;Milizac-Guipronvel;50.1;29076;27.82;72.19;0.0
29;84;Ile-Molène;50.84;29084;14.05;85.96;0.0
29;93;Kernilis;45.4;29093;26.81;73.19;0.0
29;95;Kersaint-Plabennec;45.26;29095;31.42;68.58;0.0
29;98;Lampaul-Plouarzel;57.34;29098;36.39;63.61;0.0
29;99;Lampaul-Ploudalmézeau;53.5;29099;36.53;63.47;0.0
29;100;Lanarvily;56.53;29100;33.87;66.14;0.0
29;109;Landunvez;61.57;29109;29.13;70.89;0.0
29;112;Lanildut;63.49;29112;28.57;71.42;0.01
29;119;Lanrivoaré;49.67;29119;27.48;72.51;0.01
29;126;Loc-Brévalaire;58.08;29126;23.71;76.29;0.0
29;130;Locmaria-Plouzané;54.89;29130;34.45;65.56;0.0
29;160;Plabennec;52.87;29160;30.05;69.96;0.0
29;177;Plouarzel;52.55;29177;27.4;72.6;0.0
29;178;Ploudalmézeau;50.68;29178;25.79;74.2;0.01
29;190;Plougonvelin;53.76;29190;25.88;74.11;0.01
29;196;Plouguin;47.79;29196;27.74;72.26;0.0
29;201;Ploumoguer;51.93;29201;27.95;72.05;0.0
