Code département;LIBGEO;Score_Gauche;Score_Droite;Score_Divers
29;Le Relecq-Kerhuon;39.79;60.22;0.0
29;Riec-sur-Bélon;51.69;48.32;0.0
29;La Roche-Maurice;35.06;64.95;0.0
29;Roscanvel;39.16;60.83;0.01
29;Roscoff;24.87;75.12;0.01
29;Rosnoën;41.24;58.77;0.0
29;Rosporden;41.89;58.11;0.0
29;Saint-Coulitz;43.57;56.43;0.0
29;Saint-Derrien;16.7;83.28;0.02
29;Saint-Divy;26.52;73.48;0.0
29;Saint-Eloy;48.85;51.14;0.01
29;Saint-Evarzec;28.39;71.61;0.0
29;Saint-Frégant;23.24;76.77;0.0
29;Saint-Goazec;34.29;65.72;0.0
29;Saint-Hernin;40.78;59.22;0.0
29;Saint-Jean-du-Doigt;46.31;53.69;0.0
29;Saint-Jean-Trolimon;35.41;64.59;0.0
29;Saint-Martin-des-Champs;36.63;63.38;0.0
29;Saint-Méen;24.7;75.3;0.0
29;Saint-Nic;34.52;65.48;0.0
29;Saint-Pabu;25.63;74.36;0.01
29;Saint-Pol-de-Léon;26.6;73.39;0.01
29;Saint-Renan;25.09;74.76;0.15
29;Saint-Rivoal;73.77;26.23;0.0
29;Saint-Sauveur;23.0;77.0;0.0
29;Saint-Ségal;39.74;60.25;0.01
29;Saint-Servais;17.49;82.51;0.0
29;Sainte-Sève;31.28;68.71;0.01
29;Saint-Thégonnec Loc-Eguiner;27.4;72.6;0.0
29;Saint-Thois;44.79;55.21;0.0
29;Saint-Thonan;26.53;73.46;0.01
29;Saint-Thurien;43.88;56.11;0.01
29;Saint-Urbain;45.66;54.34;0.0
29;Saint-Vougay;17.85;82.15;0.0
29;Saint-Yvi;40.24;59.78;0.0
29;Santec;30.05;69.95;0.0
29;Scaër;38.74;61.27;0.0
29;Scrignac;45.63;54.38;0.0
29;Sibiril;24.73;75.27;0.0
29;Sizun;33.82;66.18;0.0
29;Spézet;39.68;60.32;0.0
29;Taulé;29.31;70.68;0.01
29;Telgruc-sur-Mer;36.99;63.02;0.0
29;Tourch;40.4;59.61;0.0
29;Trébabu;21.52;78.06;0.42
29;Treffiagat;29.86;70.14;0.0
29;Tréflaouénan;24.1;75.9;0.0
29;Tréflévénez;37.66;62.35;0.0
29;Tréflez;20.59;79.41;0.0
29;Trégarantec;27.55;72.45;0.0
29;Trégarvan;56.25;43.75;0.0
29;Tréglonou;27.01;72.99;0.0
29;Trégourez;38.27;61.72;0.01
29;Tréguennec;44.03;55.96;0.01
29;Trégunc;38.68;61.32;0.0
29;Le Tréhou;31.15;68.84;0.01
29;Trémaouézan;30.45;69.56;0.0
29;Tréméoc;35.88;64.12;0.0
29;Tréméven;44.91;55.1;0.0
29;Tréogat;37.33;62.67;0.0
29;Tréouergat;27.48;71.99;0.53
29;Le Trévoux;46.02;53.99;0.0
29;Trézilidé;17.94;82.07;0.0
29;Pont-de-Buis-lès-Quimerch;43.62;56.39;0.0
35;Acigné;45.94;54.06;0.0
35;Amanlis;35.04;64.96;0.0
35;Andouillé-Neuville;30.49;69.51;0.0
35;Val-Couesnon;18.62;81.37;0.01
35;Arbrissel;23.7;76.3;0.0
35;Argentré-du-Plessis;24.15;75.85;0.0
35;Aubigné;37.37;62.64;0.0
35;Availles-sur-Seiche;17.14;82.86;0.0
35;Baguer-Morvan;15.58;84.41;0.01
35;Baguer-Pican;16.74;83.26;0.0
35;Bain-de-Bretagne;30.0;69.99;0.01
35;Bains-sur-Oust;30.12;69.87;0.01
