LIBGEO;CODGEO;filiere;energie_type;production_mwh;puissances_kw;Code département;Code de la commune
Évran;22056;Hydroélectricité;Electricité;0.0;0.0;22;056
Évran;22056;Méthanisation;Chaleur;0.0;0.0;22;056
Évran;22056;PAC (aérothermie et géothermie);Chaleur;686.0;872.0;22;056
Évran;22056;Solaire PV;Electricité;159.0;172.0;22;056
Évran;22056;Solaire thermique;Chaleur;21.0;30.0;22;056
Le Faouët;22057;Bois énergie domestique;Chaleur;854.0;1012.0;22;057
Le Faouët;22057;Hydroélectricité;Electricité;0.0;0.0;22;057
Le Faouët;22057;PAC (aérothermie et géothermie);Chaleur;184.0;233.0;22;057
Le Faouët;22057;Solaire thermique;Chaleur;6.0;10.0;22;057
Le Fœil;22059;Bois énergie domestique;Chaleur;2250.0;2666.0;22;059
Le Fœil;22059;Hydroélectricité;Electricité;0.0;0.0;22;059
Le Fœil;22059;PAC (aérothermie et géothermie);Chaleur;464.0;590.0;22;059
Le Fœil;22059;Solaire PV;Electricité;157.0;135.0;22;059
Le Fœil;22059;Solaire thermique;Chaleur;15.0;20.0;22;059
Gausson;22060;Bois énergie domestique;Chaleur;1239.0;1468.0;22;060
Gausson;22060;Hydroélectricité;Electricité;0.0;0.0;22;060
Gausson;22060;PAC (aérothermie et géothermie);Chaleur;280.0;357.0;22;060
Gausson;22060;Solaire PV;Electricité;91.0;83.0;22;060
Gausson;22060;Solaire thermique;Chaleur;9.0;10.0;22;060
Glomel;22061;Bois énergie chaufferies;Chaleur;339.0;280.0;22;061
Glomel;22061;Bois énergie domestique;Chaleur;3225.0;3820.0;22;061
Glomel;22061;Hydroélectricité;Electricité;0.0;0.0;22;061
Glomel;22061;PAC (aérothermie et géothermie);Chaleur;787.0;1001.0;22;061
Glomel;22061;Solaire PV;Electricité;73.0;86.0;22;061
Glomel;22061;Solaire thermique;Chaleur;25.0;30.0;22;061
Gomené;22062;Bois énergie chaufferies;Chaleur;659.0;550.0;22;062
Gomené;22062;Bois énergie domestique;Chaleur;1166.0;1382.0;22;062
Gomené;22062;Hydroélectricité;Electricité;0.0;0.0;22;062
Gomené;22062;Méthanisation;Chaleur;3189.0;455.0;22;062
Gomené;22062;Méthanisation;Electricité;0.0;0.0;22;062
Gomené;22062;PAC (aérothermie et géothermie);Chaleur;273.0;347.0;22;062
Gomené;22062;Solaire PV;Electricité;190.0;182.0;22;062
Gomené;22062;Solaire thermique;Chaleur;9.0;10.0;22;062
Gommenec'h;22063;Bois énergie domestique;Chaleur;1137.0;1348.0;22;063
Gommenec'h;22063;Hydroélectricité;Electricité;0.0;0.0;22;063
Gommenec'h;22063;PAC (aérothermie et géothermie);Chaleur;265.0;337.0;22;063
Gommenec'h;22063;Solaire thermique;Chaleur;8.0;10.0;22;063
Gouarec;22064;Bois énergie chaufferies;Chaleur;2772.0;750.0;22;064
Gouarec;22064;Bois énergie domestique;Chaleur;1368.0;1621.0;22;064
Gouarec;22064;Hydroélectricité;Electricité;0.0;0.0;22;064
Gouarec;22064;PAC (aérothermie et géothermie);Chaleur;303.0;386.0;22;064
Gouarec;22064;Solaire thermique;Chaleur;10.0;10.0;22;064
Goudelin;22065;Bois énergie chaufferies;Chaleur;88.0;55.0;22;065
Goudelin;22065;Bois énergie domestique;Chaleur;3331.0;3947.0;22;065
Goudelin;22065;Hydroélectricité;Electricité;0.0;0.0;22;065
Goudelin;22065;PAC (aérothermie et géothermie);Chaleur;677.0;861.0;22;065
Goudelin;22065;Solaire thermique;Chaleur;21.0;30.0;22;065
Grâces;22067;Bois énergie domestique;Chaleur;3658.0;4334.0;22;067
Grâces;22067;Hydroélectricité;Electricité;0.0;0.0;22;067
Grâces;22067;PAC (aérothermie et géothermie);Chaleur;985.0;1253.0;22;067
Grâces;22067;Solaire PV;Electricité;45.0;59.0;22;067
Grâces;22067;Solaire thermique;Chaleur;31.0;40.0;22;067
Grâce-Uzel;22068;Bois énergie domestique;Chaleur;770.0;912.0;22;068
Grâce-Uzel;22068;Hydroélectricité;Electricité;0.0;0.0;22;068
Grâce-Uzel;22068;PAC (aérothermie et géothermie);Chaleur;170.0;216.0;22;068
Grâce-Uzel;22068;Solaire thermique;Chaleur;5.0;10.0;22;068
Guenroc;22069;Bois énergie domestique;Chaleur;491.0;581.0;22;069
Guenroc;22069;Hydroélectricité;Electricité;0.0;0.0;22;069
Guenroc;22069;PAC (aérothermie et géothermie);Chaleur;115.0;146.0;22;069
Guenroc;22069;Solaire thermique;Chaleur;4.0;10.0;22;069
Guingamp;22070;Bois énergie domestique;Chaleur;5071.0;6008.0;22;070
Guingamp;22070;Hydroélectricité;Electricité;0.0;0.0;22;070
Guingamp;22070;PAC (aérothermie et géothermie);Chaleur;1454.0;1849.0;22;070
Guingamp;22070;Solaire PV;Electricité;22.0;35.0;22;070
Guingamp;22070;Solaire thermique;Chaleur;45.0;60.0;22;070
Guitté;22071;Bois énergie chaufferies;Chaleur;97.0;100.0;22;071
Guitté;22071;Bois énergie domestique;Chaleur;1367.0;1619.0;22;071
Guitté;22071;Hydroélectricité;Electricité;0.0;0.0;22;071
Guitté;22071;PAC (aérothermie et géothermie);Chaleur;305.0;388.0;22;071
Guitté;22071;Solaire PV;Electricité;98.0;85.0;22;071
Guitté;22071;Solaire thermique;Chaleur;10.0;10.0;22;071
Gurunhuel;22072;Bois énergie domestique;Chaleur;818.0;969.0;22;072
Gurunhuel;22072;Éolien terrestre;Electricité;9486.0;4000.0;22;072
Gurunhuel;22072;Hydroélectricité;Electricité;0.0;0.0;22;072
Gurunhuel;22072;PAC (aérothermie et géothermie);Chaleur;193.0;246.0;22;072
Gurunhuel;22072;Solaire thermique;Chaleur;6.0;10.0;22;072
La Harmoye;22073;Bois énergie chaufferies;Chaleur;130.0;130.0;22;073
La Harmoye;22073;Bois énergie domestique;Chaleur;715.0;848.0;22;073
La Harmoye;22073;Hydroélectricité;Electricité;0.0;0.0;22;073
La Harmoye;22073;PAC (aérothermie et géothermie);Chaleur;166.0;211.0;22;073
La Harmoye;22073;Solaire thermique;Chaleur;5.0;10.0;22;073
Le Haut-Corlay;22074;Bois énergie domestique;Chaleur;1397.0;1655.0;22;074
Le Haut-Corlay;22074;Éolien terrestre;Electricité;12464.0;9000.0;22;074
Le Haut-Corlay;22074;Hydroélectricité;Electricité;0.0;0.0;22;074
Le Haut-Corlay;22074;Méthanisation;Chaleur;348.0;123.0;22;074
Le Haut-Corlay;22074;Méthanisation;Electricité;668.0;236.0;22;074
Le Haut-Corlay;22074;PAC (aérothermie et géothermie);Chaleur;295.0;376.0;22;074
Le Haut-Corlay;22074;Solaire PV;Electricité;159.0;160.0;22;074
Le Haut-Corlay;22074;Solaire thermique;Chaleur;9.0;10.0;22;074
Hémonstoir;22075;Bois énergie domestique;Chaleur;1323.0;1568.0;22;075
Hémonstoir;22075;Hydroélectricité;Electricité;0.0;0.0;22;075
Hémonstoir;22075;PAC (aérothermie et géothermie);Chaleur;254.0;324.0;22;075
Hémonstoir;22075;Solaire thermique;Chaleur;8.0;10.0;22;075
Hénanbihen;22076;Bois énergie chaufferies;Chaleur;689.0;250.0;22;076
Hénanbihen;22076;Bois énergie domestique;Chaleur;2707.0;3207.0;22;076
Hénanbihen;22076;Hydroélectricité;Electricité;0.0;0.0;22;076
Hénanbihen;22076;Méthanisation;Chaleur;1465.0;177.0;22;076
Hénanbihen;22076;Méthanisation;Electricité;1240.0;150.0;22;076
Hénanbihen;22076;PAC (aérothermie et géothermie);Chaleur;594.0;756.0;22;076
Hénanbihen;22076;Solaire thermique;Chaleur;19.0;30.0;22;076
