CODGEO,LIBGEO,Code département,annee,type,code_de_la_commune,code_com,geo_point,loyer_pr_dit_en_euros_par_m_,nom_com,code_dep
22037,La Chapelle-Neuve,22,2024,carte loyer,037,22037,"48.46571474215161, -3.4399666603374586",6.63874765222973,La Chapelle-Neuve,22
22039,La Chèze,22,2024,carte loyer,039,22039,"48.13413992879994, -2.66248453321529",8.08285076112115,La Chèze,22
22039,La Chèze,22,2024,carte loyer,039,22039,"48.13413992879994, -2.66248453321529",7.69868490237925,La Chèze,22
22040,Coadout,22,2024,carte loyer,040,22040,"48.51493819543793, -3.1786769355603184",9.97436262493348,Coadout,22
22040,Coadout,22,2024,carte loyer,040,22040,"48.51493819543793, -3.1786769355603184",7.886330030872,Coadout,22
22041,Coatascorn,22,2024,carte loyer,041,22041,"48.66956621990305, -3.2552637436482668",9.22160622471704,Coatascorn,22
22041,Coatascorn,22,2024,carte loyer,041,22041,"48.66956621990305, -3.2552637436482668",7.68323753845413,Coatascorn,22
22042,Coatréven,22,2024,carte loyer,042,22042,"48.76341836109597, -3.3259713891013423",10.0094169143978,Coatréven,22
22042,Coatréven,22,2024,carte loyer,042,22042,"48.76341836109597, -3.3259713891013423",8.23843488210609,Coatréven,22
22043,Coëtlogon,22,2024,carte loyer,043,22043,"48.132376366176494, -2.543197318567139",8.08285076112115,Coëtlogon,22
22043,Coëtlogon,22,2024,carte loyer,043,22043,"48.132376366176494, -2.543197318567139",7.69868490237925,Coëtlogon,22
22044,Coëtmieux,22,2024,carte loyer,044,22044,"48.486604566333924, -2.5922050460710464",9.96230238872937,Coëtmieux,22
22044,Coëtmieux,22,2024,carte loyer,044,22044,"48.486604566333924, -2.5922050460710464",8.99580804546581,Coëtmieux,22
22045,Cohiniac,22,2024,carte loyer,045,22045,"48.45147352827626, -2.9467183677877835",9.8876295978888,Cohiniac,22
22045,Cohiniac,22,2024,carte loyer,045,22045,"48.45147352827626, -2.9467183677877835",7.06923074557976,Cohiniac,22
22046,Le Mené,22,2024,carte loyer,046,22046,"48.28263378764225, -2.531182377659153",8.24032295700092,Le Mené,22
22046,Le Mené,22,2024,carte loyer,046,22046,"48.28263378764225, -2.531182377659153",7.052573214521,Le Mené,22
22047,Corlay,22,2024,carte loyer,047,22047,"48.30991342390647, -3.037664422933633",7.00107816870564,Corlay,22
22047,Corlay,22,2024,carte loyer,047,22047,"48.30991342390647, -3.037664422933633",7.94901853142507,Corlay,22
22048,Corseul,22,2024,carte loyer,048,22048,"48.48303302788376, -2.1663087926283544",11.2004142590537,Corseul,22
22048,Corseul,22,2024,carte loyer,048,22048,"48.48303302788376, -2.1663087926283544",8.97024421829938,Corseul,22
22049,Créhen,22,2024,carte loyer,049,22049,"48.53989457783926, -2.19029968087284",11.5603553975938,Créhen,22
22049,Créhen,22,2024,carte loyer,049,22049,"48.53989457783926, -2.19029968087284",8.80913656275973,Créhen,22
