CODGEO,LIBGEO,Code département,annee,type,taux_brut_de_natalit___pour_mille_
22224,Ploulec'h,22,2022,Taux brut de natalité (pour mille),8.2
22225,Ploumagoar,22,2022,Taux brut de natalité (pour mille),8.2
22226,Ploumilliau,22,2022,Taux brut de natalité (pour mille),8.2
22227,Plounérin,22,2022,Taux brut de natalité (pour mille),8.2
22228,Plounévez-Moëdec,22,2022,Taux brut de natalité (pour mille),8.2
22229,Plounévez-Quintin,22,2022,Taux brut de natalité (pour mille),8.2
22231,Plourac'h,22,2022,Taux brut de natalité (pour mille),8.2
22232,Plourhan,22,2022,Taux brut de natalité (pour mille),8.2
22233,Plourivo,22,2022,Taux brut de natalité (pour mille),8.2
22234,Plouvara,22,2022,Taux brut de natalité (pour mille),8.2
22235,Plouzélambre,22,2022,Taux brut de natalité (pour mille),8.2
22236,Pludual,22,2022,Taux brut de natalité (pour mille),8.2
22237,Pluduno,22,2022,Taux brut de natalité (pour mille),8.2
22238,Plufur,22,2022,Taux brut de natalité (pour mille),8.2
22239,Plumaudan,22,2022,Taux brut de natalité (pour mille),8.2
22240,Plumaugat,22,2022,Taux brut de natalité (pour mille),8.2
22241,Plumieux,22,2022,Taux brut de natalité (pour mille),8.2
22242,Plurien,22,2022,Taux brut de natalité (pour mille),8.2
22243,Plusquellec,22,2022,Taux brut de natalité (pour mille),8.2
22244,Plussulien,22,2022,Taux brut de natalité (pour mille),8.2
22245,Pluzunet,22,2022,Taux brut de natalité (pour mille),8.2
22246,Pommeret,22,2022,Taux brut de natalité (pour mille),8.2
22248,Pommerit-le-Vicomte,22,2022,Taux brut de natalité (pour mille),8.2
22249,Pont-Melvez,22,2022,Taux brut de natalité (pour mille),8.2
22250,Pontrieux,22,2022,Taux brut de natalité (pour mille),8.2
22251,Pordic,22,2022,Taux brut de natalité (pour mille),8.2
22254,Prat,22,2022,Taux brut de natalité (pour mille),8.2
22255,La Prénessaye,22,2022,Taux brut de natalité (pour mille),8.2
22256,Quemper-Guézennec,22,2022,Taux brut de natalité (pour mille),8.2
22257,Quemperven,22,2022,Taux brut de natalité (pour mille),8.2
22258,Quessoy,22,2022,Taux brut de natalité (pour mille),8.2
22259,Quévert,22,2022,Taux brut de natalité (pour mille),8.2
22260,Le Quillio,22,2022,Taux brut de natalité (pour mille),8.2
22261,Quintenic,22,2022,Taux brut de natalité (pour mille),8.2
22262,Quintin,22,2022,Taux brut de natalité (pour mille),8.2
22263,Le Quiou,22,2022,Taux brut de natalité (pour mille),8.2
22264,La Roche-Jaudy,22,2022,Taux brut de natalité (pour mille),8.2
22265,Rospez,22,2022,Taux brut de natalité (pour mille),8.2
22266,Rostrenen,22,2022,Taux brut de natalité (pour mille),8.2
22267,Rouillac,22,2022,Taux brut de natalité (pour mille),8.2
22268,Ruca,22,2022,Taux brut de natalité (pour mille),8.2
22269,Runan,22,2022,Taux brut de natalité (pour mille),8.2
22271,Saint-Adrien,22,2022,Taux brut de natalité (pour mille),8.2
22272,Saint-Agathon,22,2022,Taux brut de natalité (pour mille),8.2
22273,Saint-Alban,22,2022,Taux brut de natalité (pour mille),8.2
22274,Saint-André-des-Eaux,22,2022,Taux brut de natalité (pour mille),8.2
22275,Saint-Barnabé,22,2022,Taux brut de natalité (pour mille),8.2
22276,Saint-Bihy,22,2022,Taux brut de natalité (pour mille),8.2
22277,Saint-Brandan,22,2022,Taux brut de natalité (pour mille),8.2
22278,Saint-Brieuc,22,2022,Taux brut de natalité (pour mille),8.2
22279,Saint-Caradec,22,2022,Taux brut de natalité (pour mille),8.2
22280,Saint-Carné,22,2022,Taux brut de natalité (pour mille),8.2
22281,Saint-Carreuc,22,2022,Taux brut de natalité (pour mille),8.2
22282,Saint-Cast-le-Guildo,22,2022,Taux brut de natalité (pour mille),8.2
22283,Saint-Clet,22,2022,Taux brut de natalité (pour mille),8.2
22284,Saint-Connan,22,2022,Taux brut de natalité (pour mille),8.2
22285,Saint-Connec,22,2022,Taux brut de natalité (pour mille),8.2
22286,Saint-Denoual,22,2022,Taux brut de natalité (pour mille),8.2
22287,Saint-Donan,22,2022,Taux brut de natalité (pour mille),8.2
22288,Saint-Étienne-du-Gué-de-l'Isle,22,2022,Taux brut de natalité (pour mille),8.2
22289,Saint-Fiacre,22,2022,Taux brut de natalité (pour mille),8.2
22291,Saint-Gildas,22,2022,Taux brut de natalité (pour mille),8.2
22293,Saint-Gilles-les-Bois,22,2022,Taux brut de natalité (pour mille),8.2
22294,Saint-Gilles-Pligeaux,22,2022,Taux brut de natalité (pour mille),8.2
22295,Saint-Gilles-Vieux-Marché,22,2022,Taux brut de natalité (pour mille),8.2
